,City,Cloudiness,Country,Data,Humidity,Lat,Lng,Max Temp,Wind Speed
271,Yuryevets,60,RU,1567277742,93,57.32,43.11,54.2,2.84
272,Fort Saint James,16,CA,1567277742,41,54.43,-124.25,65.72,2.17
273,Aswan,0,EG,1567277743,13,24.09,32.9,91.82,13.96
274,Port Macquarie,17,AU,1567277743,100,-31.43,152.91,53.6,3.02
275,Isabela,100,PH,1567277743,90,10.2,122.99,76.52,3.78
276,Bilma,1,NE,1567277744,11,18.69,12.92,100.28,5.93
277,Pyay,100,MM,1567277744,98,18.82,95.22,75.08,3.47
278,Yeppoon,4,AU,1567277744,87,-23.13,150.74,60.8,5.82
279,La Huacana,40,MX,1567277745,78,18.96,-101.8,71.6,9.17
280,Areosa,0,PT,1567277745,82,41.72,-8.86,73.99,6.93
281,Longyearbyen,75,NO,1567277745,87,78.22,15.63,44.6,6.93
282,Mwene-Ditu,98,CD,1567277746,60,-7.01,23.45,75.98,1.45
283,Fort Nelson,90,CA,1567277746,93,58.81,-122.69,50.0,3.36
284,Pionerskiy,98,RU,1567277746,90,61.2,62.86,44.66,10.54
285,Saldanha,0,PT,1567277746,22,41.42,-6.55,85.52,12.71
286,Tabou,93,CI,1567277747,85,4.42,-7.36,77.06,7.29
287,Takab,17,IR,1567277747,34,36.4,47.11,54.92,0.58
288,Atherton,0,AU,1567277723,82,-17.27,145.48,64.4,5.82
289,Coruripe,0,BR,1567277747,65,-10.12,-36.18,78.68,10.87
290,Kahului,40,US,1567277521,78,20.89,-156.47,80.6,14.99
291,Karratha,86,AU,1567277748,55,-20.74,116.85,68.06,8.23
292,Visby,16,SE,1567277749,82,57.64,18.3,68.0,11.41
293,Clarence Town,75,AU,1567277749,100,-32.59,151.78,55.99,8.05
294,Surenavan,19,AM,1567277749,37,39.75,44.8,71.6,11.41
295,Chala,0,TZ,1567277750,45,-7.6,31.27,66.2,0.13
296,Dwarka,40,IN,1567277750,74,28.58,77.04,93.99,5.35
297,Palana,0,RU,1567277751,69,59.08,159.95,48.26,4.16
298,Maniitsoq,1,GL,1567277680,67,65.42,-52.9,46.64,1.74
299,Zhangjiakou,14,CN,1567277751,48,40.77,114.88,54.38,4.27
300,Narsaq,40,GL,1567277751,47,60.91,-46.05,55.4,9.17
301,Nurota,65,UZ,1567277752,22,40.56,65.69,68.0,6.93
302,Abu Kamal,0,SY,1567277752,21,34.45,40.92,88.22,9.24
303,Ukiah,1,US,1567277753,32,39.15,-123.21,89.01,5.64
304,Birao,44,CF,1567277753,69,10.3,22.78,80.12,3.89
305,Razvilnoye,0,RU,1567277753,42,46.24,41.3,70.4,11.59
306,Sainte-Marie,75,CA,1567277754,68,46.45,-71.03,69.01,16.11
307,Mount Gambier,90,AU,1567277754,93,-37.83,140.78,50.0,8.05
308,Mora,0,PT,1567277754,75,38.94,-8.17,72.0,12.03
309,Touros,20,BR,1567277755,58,-5.2,-35.46,84.2,17.22
310,Naryan-Mar,0,RU,1567277755,93,67.67,53.09,37.46,5.39
311,Saint Anthony,1,US,1567277756,29,43.97,-111.68,79.0,4.7
312,Schwechat,0,AT,1567277663,61,48.14,16.48,84.2,8.05
313,Ancud,75,CL,1567277756,62,-41.87,-73.83,51.8,8.05
314,Pascagoula,40,US,1567277458,49,30.37,-88.56,93.2,8.05
315,Ayagoz,0,KZ,1567277757,35,47.96,80.43,59.24,13.67
316,Kushiro,0,JP,1567277757,95,43.11,144.15,60.68,4.72
317,Carballo,20,ES,1567277757,77,43.21,-8.69,72.0,8.05
318,Georgetown,75,GY,1567277746,88,6.8,-58.16,86.0,4.7
319,My Tho,40,VN,1567277757,94,10.36,106.37,80.6,4.7
320,Port Keats,69,AU,1567277758,23,-14.25,129.55,67.16,8.68
321,Morro Bay,90,US,1567277758,88,35.37,-120.85,91.0,6.93
322,Sauda,100,NO,1567277758,60,59.65,6.35,66.99,18.01
323,Sena Madureira,19,BR,1567277759,26,-9.07,-68.66,101.72,2.91
324,Fortuna,0,ES,1567277759,65,38.18,-1.13,86.0,4.7
325,Liepaja,53,LV,1567277707,87,56.52,21.02,60.8,4.45
326,Turan,17,RU,1567277760,85,52.15,93.92,54.2,3.38
327,Boueni,0,YT,1567277760,88,-12.9,45.08,75.2,3.36
328,North Myrtle Beach,75,US,1567277761,65,33.83,-78.68,87.01,4.7
329,Bobrovytsya,0,UA,1567277761,64,50.75,31.38,72.0,8.95
330,Varhaug,75,NO,1567277762,72,58.61,5.65,64.99,19.46
331,Lazaro Cardenas,75,MX,1567277762,39,28.39,-105.62,84.99,9.17
332,Tabira,7,BR,1567277763,24,-7.58,-37.54,92.54,9.53
333,Jalu,0,LY,1567277763,24,29.03,21.55,84.08,4.68
334,Kavaratti,100,IN,1567277764,80,10.57,72.64,82.28,16.46
335,Faya,0,SA,1567277764,33,18.39,42.45,78.8,9.17
336,Aloleng,100,PH,1567277764,90,16.13,119.78,78.68,18.01
337,Mumford,87,GH,1567277765,87,5.26,-0.76,76.16,9.26
338,Iquique,0,CL,1567277702,52,-20.22,-70.14,66.2,13.87
339,Capalnita,29,RO,1567277765,54,46.37,25.52,66.0,4.45
340,Matara,71,BI,1567277765,81,-3.48,29.48,56.18,2.71
341,Gravdal,75,NO,1567277766,72,59.79,5.78,66.99,24.16
342,Dax,90,FR,1567277766,68,43.71,-1.05,73.4,5.82
343,Fairlie,90,US,1567277766,83,33.31,-95.96,87.01,4.88
344,Batagay-Alyta,1,RU,1567277767,82,67.8,130.41,34.76,1.9
345,Avera,90,US,1567277767,58,33.19,-82.53,91.4,8.05
346,Gravelbourg,25,CA,1567277767,62,49.88,-106.56,66.08,4.85
347,Isla Vista,1,US,1567277665,47,34.41,-119.86,89.01,4.7
348,Great Yarmouth,40,GB,1567277494,68,52.61,1.73,68.0,12.75
349,Vilhena,40,BR,1567277768,36,-12.74,-60.15,91.4,5.82
350,Nemchinovka,0,RU,1567277768,59,55.72,37.37,68.0,3.24
351,Porto Real do Colegio,4,BR,1567277768,51,-10.19,-36.84,82.28,13.49
352,Cabedelo,20,BR,1567277769,65,-6.97,-34.84,82.4,16.11
353,Charagua,90,BO,1567277769,34,-19.79,-63.2,68.0,4.7
354,Buzovna,90,AZ,1567277769,77,40.52,50.11,66.2,3.36
355,Pisco,0,PE,1567277648,30,-13.71,-76.2,71.6,5.82
356,Aviles,75,ES,1567277770,88,43.55,-5.92,71.01,2.08
357,Middelburg,94,NL,1567277770,82,51.5,3.61,71.6,31.09
358,Kampot,40,KH,1567277771,83,10.62,104.18,82.4,1.12
359,Muros,20,ES,1567277771,77,42.77,-9.06,72.0,8.05
360,Itarema,52,BR,1567277771,45,-2.92,-39.92,87.68,16.08
361,Olavarria,0,AR,1567277772,34,-36.89,-60.32,58.7,8.84
362,Baruun-Urt,21,MN,1567277772,56,46.68,113.28,58.52,3.18
363,Eregli,0,TR,1567277772,31,37.51,34.05,72.2,4.5
364,Saint-Pierre,0,FR,1567277773,50,48.95,4.24,84.2,9.17
365,Sobolevo,94,RU,1567277773,91,54.43,31.9,59.06,4.72
366,Yining,100,CN,1567277773,73,29.04,114.56,67.34,0.63
367,Monrovia,75,LR,1567277774,94,6.33,-10.8,77.0,10.07
368,Praya,20,ID,1567277774,88,-8.71,116.27,71.6,2.24
369,Pangnirtung,90,CA,1567277774,93,66.15,-65.72,44.6,5.82
370,Saint Andrews,0,NZ,1567277775,54,-44.53,171.19,45.0,4.59
371,Marzuq,82,YE,1567277775,39,14.4,46.47,84.8,5.77
372,Yerofey Pavlovich,55,RU,1567277776,94,53.97,121.97,44.84,4.38
373,Punta Alta,75,AR,1567277776,77,-27.46,-55.82,68.0,4.7
374,Tucurui,100,BR,1567277777,33,-3.77,-49.67,96.14,5.99
375,Cuamba,2,MZ,1567277777,30,-14.8,36.54,75.44,3.36
376,Gigmoto,100,PH,1567277777,85,13.78,124.39,78.32,2.1
377,Sechura,22,PE,1567277778,94,-5.56,-80.82,61.58,15.55
378,Damietta,0,EG,1567277778,74,31.42,31.81,82.4,8.05
379,Markova,0,RU,1567277779,93,52.21,104.21,53.6,4.47
380,Egvekinot,100,RU,1567277615,86,66.32,-179.17,46.1,2.8
381,Walvis Bay,0,NA,1567277779,82,-22.95,14.51,57.0,7.0
382,Nabire,95,ID,1567277780,91,-3.36,135.5,69.14,6.46
383,Mayo,40,CA,1567277780,57,63.59,-135.9,51.8,3.36
384,Nueva Helvecia,20,UY,1567277781,41,-34.28,-57.23,61.0,8.05
385,Yar-Sale,100,RU,1567277781,80,66.83,70.83,49.16,18.05
386,Togul,100,RU,1567277781,58,53.47,85.91,61.22,8.88
387,San Marcos,40,GT,1567277731,66,14.97,-91.79,89.6,11.41
388,Dawei,100,MM,1567277782,83,14.07,98.19,81.38,20.4
389,Kamina,68,CD,1567277782,45,-8.74,25.0,74.72,3.6
390,Beira,20,ES,1567277782,77,43.2,-8.36,70.0,8.05
391,Kumluca,0,TR,1567277782,35,36.37,30.29,64.64,2.46
392,Joao Camara,20,BR,1567277783,58,-5.54,-35.82,84.2,17.22
393,Meulaboh,99,ID,1567277783,78,4.14,96.13,81.92,4.54
394,Daru,83,PG,1567277783,80,-9.07,143.21,71.12,7.31
395,Lashio,88,MM,1567277784,98,22.93,97.75,70.76,1.28
396,Kholodnyy,74,RU,1567277784,92,62.72,147.95,37.28,1.81
397,Port Hedland,95,AU,1567277784,93,-20.31,118.58,64.4,2.24
398,Inyonga,30,TZ,1567277785,38,-6.72,32.06,74.72,3.18
399,Turtas,100,RU,1567277785,96,58.94,69.13,45.2,12.53
400,Jutai,31,BR,1567277786,61,-1.71,-47.89,87.14,6.26
401,Chulumani,1,BO,1567277786,54,-16.41,-67.53,48.44,8.86
402,Manokwari,2,ID,1567277787,62,-0.87,134.08,71.48,5.84
403,Mosta,20,MT,1567277787,74,35.91,14.42,81.0,1.12
404,Mubi,80,NG,1567277788,75,10.27,13.26,78.14,1.01
405,Hirara,100,JP,1567277788,83,24.8,125.28,83.36,14.92
406,Mahanoro,0,MG,1567277789,97,-19.9,48.8,62.66,2.08
407,Inta,96,RU,1567277789,93,66.04,60.13,42.68,12.48
408,Taoudenni,63,ML,1567277789,30,22.68,-3.98,95.96,20.0
409,Luwuk,94,ID,1567277790,98,-0.95,122.79,63.38,3.24
410,Karpogory,64,RU,1567277790,73,64.0,44.44,50.42,2.33
411,Hofn,81,IS,1567277791,88,64.25,-15.21,34.4,1.61
412,Nome,75,US,1567277791,59,30.04,-94.42,95.0,4.7
413,Caetite,0,BR,1567277526,24,-14.07,-42.48,83.18,9.37
414,Svilengrad,0,GR,1567277791,72,41.77,26.2,68.0,1.99
415,San Francisco,75,CO,1567277764,33,1.17,-76.88,77.0,5.82
416,Porto Novo,40,BR,1567277792,19,-23.68,-45.44,91.4,11.41
417,Savelugu,14,GH,1567277792,68,9.63,-0.83,84.98,1.28
418,Council Bluffs,20,US,1567277793,77,41.26,-95.86,73.99,4.7
419,Beloslav,0,BG,1567277793,56,43.19,27.7,69.8,8.05
420,Sao Gabriel da Cachoeira,40,BR,1567277793,55,-0.13,-67.09,91.4,5.82
421,Neiafu,20,TO,1567277686,64,-18.65,-173.98,71.6,6.93
422,Isla Mujeres,75,MX,1567277793,70,21.23,-86.73,87.8,11.41
423,Constantine,40,DZ,1567277794,88,36.36,6.61,68.0,3.36
424,Pavlodar,0,KZ,1567277795,81,52.28,76.96,46.4,8.95
425,Tessalit,32,ML,1567277795,19,20.2,1.01,100.82,9.42
426,Apiai,8,BR,1567277796,28,-24.51,-48.84,86.96,8.86
427,Namatanai,99,PG,1567277796,80,-3.66,152.44,79.4,17.83
428,Ventosa,20,ES,1567277796,54,42.4,-2.63,82.4,8.05
429,Yanam,100,IN,1567277797,91,16.73,82.22,76.88,8.32
430,Oranjemund,0,ZA,1567277797,80,-28.55,16.43,55.82,19.39
431,Sambava,32,MG,1567277798,93,-14.27,50.17,65.18,2.57
432,Bathsheba,20,BB,1567277798,66,13.22,-59.52,87.8,11.41
433,Cururupu,47,BR,1567277799,55,-1.82,-44.87,87.32,4.65
434,Port Blair,100,IN,1567277799,82,11.67,92.75,81.92,25.93
435,Gdansk,0,PL,1567277709,73,54.35,18.65,78.01,11.41
436,Shingu,95,JP,1567277800,95,33.72,135.99,65.72,0.98
437,Kuryk,0,KZ,1567277800,58,43.18,51.68,66.98,11.07
438,Hellin,20,ES,1567277512,28,38.51,-1.7,86.0,6.93
439,Misratah,50,LY,1567277686,72,32.38,15.09,81.56,19.3
440,Lang Son,100,VN,1567277801,98,21.83,106.73,72.2,4.43
441,Te Anau,17,NZ,1567277801,77,-45.41,167.72,43.58,8.39
442,Valday,18,RU,1567277801,91,57.98,33.25,58.7,1.92
443,Veraval,20,FR,1567277802,68,49.65,0.71,66.99,12.75
444,Pailon,75,BO,1567277802,18,-17.66,-62.72,82.4,19.46
445,Triunfo,90,BR,1567277803,87,-29.94,-51.72,61.0,5.82
446,Lahaina,75,US,1567277803,78,20.87,-156.68,82.4,11.41
447,Bonavista,0,CA,1567277804,66,48.65,-53.11,68.42,13.89
448,Chichi,60,NG,1567277804,86,7.27,8.93,77.42,6.33
449,La Ronge,75,CA,1567277804,77,55.1,-105.3,60.8,3.36
450,Verkhniy Avzyan,18,RU,1567277804,97,53.53,57.54,32.6,3.47
451,Opuwo,42,NA,1567277805,22,-18.06,13.84,68.06,8.97
452,Boksitogorsk,34,RU,1567277805,89,59.47,33.85,55.99,3.56
453,Aldama,40,MX,1567277806,42,22.92,-98.09,97.0,3.0
454,Vermillion,90,US,1567277806,82,42.78,-96.93,63.0,12.75
455,Zyryanka,0,RU,1567277806,84,65.73,150.89,29.9,2.28
456,Vestmannaeyjar,40,IS,1567277807,93,63.44,-20.27,48.2,9.17
457,Nhulunbuy,40,AU,1567277807,93,-12.18,136.78,62.6,7.92
458,Poum,20,MK,1567277807,52,41.28,20.71,66.2,3.36
459,Smithers,20,CA,1567277808,58,54.78,-127.17,59.0,3.36
460,Matagami,82,NG,1567277808,91,9.67,8.4,72.2,2.28
461,Risch,0,CH,1567277809,72,47.13,8.46,78.01,5.82
462,Esperance,0,AU,1567277809,81,-33.86,121.89,46.4,10.29
463,Enterprise,1,US,1567277595,9,36.05,-115.22,102.0,8.05
464,Sovetskaya Gavan,75,RU,1567277810,93,48.97,140.29,56.54,3.62
465,Amahai,69,ID,1567277810,87,-3.31,129.0,74.18,12.01
466,Labuhan,45,ID,1567277810,87,-2.54,115.51,71.84,1.34
467,Santa Marinella,0,IT,1567277811,61,42.04,11.87,81.0,2.24
468,Nuuk,75,GL,1567277811,61,64.17,-51.74,50.0,11.41
469,Turbat,2,PK,1567277811,44,26.0,63.05,89.12,8.72
470,Charyshskoye,52,RU,1567277811,89,51.4,83.56,43.22,6.58
471,Karlskoga,48,SE,1567277812,72,59.33,14.52,64.4,4.7
472,Brae,100,GB,1567277812,93,60.4,-1.35,51.8,19.46
473,Riyadh,0,SA,1567277813,13,24.63,46.72,95.0,2.24
474,Pangkalanbuun,81,ID,1567277813,97,-2.68,111.62,72.38,2.04
475,Polignano a Mare,17,IT,1567277814,88,41.0,17.22,81.0,4.7
476,Carutapera,89,BR,1567277814,72,-1.2,-46.02,83.0,10.76
477,Durango,90,MX,1567277814,56,24.02,-104.67,73.99,9.55
478,Kharp,96,RU,1567277814,93,66.82,65.8,39.26,9.73
479,Kloulklubed,90,PW,1567277815,94,7.04,134.26,77.0,3.36
480,Manowa,70,SL,1567277815,96,8.17,-10.75,73.28,5.64
481,Balkhash,12,KZ,1567277815,37,46.84,74.98,57.98,8.99
482,Tanete,97,ID,1567277816,76,-3.94,119.78,78.32,14.79
483,Koroni,20,GR,1567277816,61,36.8,21.96,77.0,7.0
484,Omsukchan,80,RU,1567277816,70,62.53,155.8,29.36,1.68
485,Zhezkazgan,34,KZ,1567277817,68,47.8,67.71,45.2,1.81
486,Rocha,5,UY,1567277817,47,-34.48,-54.34,60.5,6.82
487,Hushitai,0,CN,1567277817,93,41.93,123.51,60.8,4.47
488,San Cristobal,29,HN,1567277818,57,14.68,-86.92,83.54,0.92
489,Cherepovets,40,RU,1567277818,100,59.13,37.92,60.8,3.65
490,Hanna,84,CA,1567277819,53,51.64,-111.93,66.99,5.01
491,Kamennomostskiy,0,RU,1567277819,31,44.29,40.18,70.04,12.28
492,Mnogovershinnyy,100,RU,1567277819,97,53.94,139.92,48.98,5.44
493,Khovu-Aksy,0,RU,1567277820,75,51.13,93.72,60.14,1.9
494,Laiyang,0,CN,1567277820,85,36.98,120.7,62.66,2.3
495,Porosozero,95,RU,1567277820,80,62.72,32.71,58.88,4.5
496,Burnie,91,AU,1567277821,86,-41.05,145.91,46.0,2.01
497,Hervey Bay,0,AU,1567277822,87,-25.3,152.85,55.99,6.93
498,Zaoyang,39,CN,1567277822,58,32.12,112.76,70.04,1.79
499,Chuncheng,100,CN,1567277822,93,22.17,111.79,74.0,1.68
500,Nizhniy Odes,73,RU,1567277823,88,63.64,54.86,42.86,5.68
501,Lampa,0,CL,1567277823,16,-33.29,-70.87,73.0,10.29
502,Chopovychi,37,UA,1567277823,79,50.83,28.95,66.26,4.81
503,Santa Cruz,9,BR,1567277824,35,-6.22,-36.02,89.3,12.75
504,Tiarei,75,PF,1567277824,78,-17.53,-149.33,75.2,16.11
505,Moree,0,AU,1567277824,65,-29.46,149.84,44.6,5.82
506,Kabinda,91,CD,1567277824,47,-6.14,24.49,80.48,1.59
507,Foumban,85,CM,1567277825,89,5.73,10.9,65.9,2.71
508,Richards Bay,84,ZA,1567277825,65,-28.77,32.06,67.7,30.89
509,Ivankiv,59,UA,1567277826,68,50.93,29.9,73.0,4.47
510,Callosa de Segura,0,ES,1567277826,65,38.13,-0.88,86.0,4.7
511,Lasa,20,CY,1567277826,83,34.92,32.53,82.4,11.41
512,Kieta,100,PG,1567277827,83,-6.22,155.63,78.32,6.31
513,Takoradi,100,GH,1567277827,81,4.89,-1.75,76.88,7.36
514,Hohhot,0,CN,1567277828,71,40.81,111.65,55.4,6.71
515,Tutoia,20,BR,1567277828,62,-2.76,-42.27,86.0,19.46
516,Petropavlovsk-Kamchatskiy,39,RU,1567277828,100,53.05,158.65,46.4,8.95
517,Panzhihua,98,CN,1567277828,94,26.59,101.72,64.64,2.82
518,Chegdomyn,51,RU,1567277829,97,51.13,133.04,44.84,0.56
519,Nyurba,100,RU,1567277829,91,63.29,118.35,54.2,3.0
520,Chuy,0,UY,1567277829,59,-33.69,-53.46,56.72,7.47
521,Fairbanks,20,US,1567277830,66,64.84,-147.72,57.99,3.36
522,Cullman,1,US,1567277692,29,34.17,-86.84,91.99,3.74
523,Tsiroanomandidy,0,MG,1567277830,49,-18.77,46.05,69.68,3.18
524,Concordia,40,AR,1567277831,52,-31.4,-58.02,64.4,11.41
525,Necochea,0,AR,1567277831,40,-38.55,-58.74,58.34,11.03
526,Ghanzi,0,BW,1567277832,15,-21.7,21.65,55.64,8.01
527,Saint-Francois,0,FR,1567277832,50,46.42,3.91,78.8,8.05
528,Sakaiminato,20,JP,1567277832,100,35.55,133.23,69.8,6.93
529,Bow Island,90,CA,1567277832,49,49.87,-111.38,72.0,6.93
530,Salym,100,RU,1567277833,98,60.06,71.48,45.92,6.91
531,Quatre Cocos,75,MU,1567277833,68,-20.21,57.76,73.0,16.11
532,Qasigiannguit,40,GL,1567277833,33,68.82,-51.19,46.4,6.93
533,Henties Bay,0,NA,1567277834,82,-22.12,14.28,57.0,7.0
534,Yatou,75,CM,1567277834,94,3.63,9.81,77.0,1.12
535,San Quintin,100,PH,1567277834,95,17.54,120.52,72.56,3.56
536,Teguldet,72,RU,1567277835,71,57.31,88.17,55.82,5.44
537,Yangambi,40,CD,1567277835,78,0.77,24.47,77.78,0.92
538,Mehamn,66,NO,1567277835,92,71.03,27.85,51.14,14.67
539,Buchanan,75,LR,1567277836,94,5.88,-10.05,77.0,14.32
540,Flinders,0,AU,1567277836,100,-34.58,150.85,50.0,9.17
541,Karakol,33,KG,1567277836,51,42.49,78.39,59.78,10.71
542,Palmer,0,AU,1567277836,93,-34.85,139.16,52.0,9.17
543,Contramaestre,40,CU,1567277837,59,20.3,-76.25,89.6,6.93
544,San Miguel de Cauri,20,PE,1567277838,30,-10.1,-76.58,82.4,18.34
